code,name,produkmui,manufacture,cert_code,nilai,label,ingredients,ingredients_lama,ing0,ing1,ing2,ing3,ing4,ing5,ing6,ing7,ing8,ing9,ing10,ing11,ing12,ing13,ing14,ing15,ing16,ing17,ing18,ing19,ing20,ing21,ing22,ing23,ing24,ing25,ing26,ing27,ing28,ing29,ing30,ing31,ing32,cert_bodies,expired,cert_bodyname,homepage,location,status
148,Indomaret Kacang Hijau,Kacang hijau indomaret,Pt. mawar jaya,00190114830221,"0,5",1,kacang hijau,kacang hijau.,kacang hijau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
149,Deka Wafer Crepes Choco Banana,Deka crisp crepes choco banana,Pt. dua kelinci,00100017571001,"0,5",1,"gula,tepung terigu,lemak nabati,kakao bubuk,maltodekstrin,banana,whey bubuk,susu bubuk,pemanis alami,pengemulsi,serat gandum,garam,bubuk telur,pewarna karamel,perisa Artifisial,tepung beras","gula, tepung terigu, lemak nabati, kakao bubuk, maltodekstrin, banana, whey bubuk, susu bubuk, pemanis alami, pengemulsi, serat gandum, garam, bubuk telur, pewarna karamel, perisa artifasial, tepung beras.",gula, tepung terigu, lemak nabati, kakao bubuk, maltodekstrin, banana, whey bubuk, susu bubuk, pemanis alami, pengemulsi, serat gandum, garam, bubuk telur, pewarna karamel, perisa artifasial, tepung beras,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
152,Indomaret Minyak Goreng,Minyak goreng indomaret,Pt. mawar jaya,03080023260419,"0,5",1,minyak kelapa sawit,minyak kelapa sawit.,minyak kelapa sawit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
153,Tresno Joyo Madu Tj Jahe Merah Mint,Madu tj jahe merah mint,Pt. ultra sakti,00120065130513,"0,5",1,"madu,ekstrak jahe merah,pepermint","tiap gram mengandung: madu , g, ekstrak jahe merah . g, pepermint . g",tiap gram mengandung madu , g, ekstrak jahe merah  g, pepermint  g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
154,Nestle Alegria Dark Cocoa Drink,Nestle alegria - dark cocoa,Pt. nestle indonesia,00120005360899,"0,5",1,"gula,krimer nabati,bubuk kakao,susu bubuk skim,antikempal,penstabil,perisa sintetik,pengental nabati,garam,glikosida steviol","gula, krimer nabati (mengandung protein susu), bubuk kakao (%), susu bubuk skim, antikempal, penstabil, perisa sintetik, pengental nabati, garam, pemanis alami glikosida steviol.",gula, krimer nabati mengandung protein susu, bubuk kakao , susu bubuk skim, antikempal, penstabil, perisa sintetik, pengental nabati, garam, pemanis alami glikosida steviol,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
156,Kata Oma Snack Telur Gabus Balado Padang,Kata oma telur gabus rasa balado padang,Pt. fonusa agung mulia,00100100881219,"0,5",1,"tepung tapioka,minyak kelapa sawit,telur,gula,pasta balado,bawang merah,margarin,garam,pengembang baking powder,ekstrak ragi","tepung tapioka, minyak kelapa sawit, telur (.%), gula, pasta balado, bawang merah, margarin, garam, pengembang baking powder, ekstrak ragi.",tepung tapioka, minyak kelapa sawit, telur , gula, pasta balado, bawang merah, margarin, garam, pengembang baking powder, ekstrak ragi,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
157,Tropicana Slim Corn Oil,Tropicana slim corn oil,Soon soon oilmills sdn bhd,00080059911111,"0,5",1,minyak jagung,% minyak jagung., minyak jagung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
158,Deka Wafer Crepes Choco Nut,Deka crisp crepes choco nut,Pt. dua kelinci,00100017571001,"0,5",1,"gula,tepung terigu,lemak nabati,maltodekstrin,whey bubuk,kakao bubuk,pemanis alami,susu bubuk,pengemulsi,serat gandum,garam,bubuk telur,pewarna karamel,perisa Artifisial","gula, tepung terigu, lemak nabati, maltodekstrin, whey bubuk, kakao bubuk, pemanis alami, susu bubuk, pengemulsi, serat gandum, garam, bubuk telur, pewarna karamel, perisa artifasial.",gula, tepung terigu, lemak nabati, maltodekstrin, whey bubuk, kakao bubuk, pemanis alami, susu bubuk, pengemulsi, serat gandum, garam, bubuk telur, pewarna karamel, perisa artifasial,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
159,Kata Oma Snack Telur Gabus Gula Aren,Kata oma telur gabus rasa gula aren,Pt. fonusa agung mulia,00100100881219,"0,5",1,"tepung tapioka,telur,minyak kelapa sawit,gula aren,susu bubuk","tepung tapioka, telur (.%), minyak kelapa sawit, gula aren (%), susu bubuk",tepung tapioka, telur , minyak kelapa sawit, gula aren , susu bubuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
161,Kopiko Coffee Candy,Kopiko coffee candy,Pt. mayora indah,00110017761001,"0,5",1,"gula,glukosa,minyak nabati,ekstrak kopi,mentega,pengemulsi,karamel,garam,perisa","gula, glukosa, minyak nabati, ekstrak kopi, mentega, pengemulsi, karamel, garam, perisa.",gula, glukosa, minyak nabati, ekstrak kopi, mentega, pengemulsi, karamel, garam, perisa,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
162,Pringles Potato Crisps Cheesy Cheese,Pringles potato crisps cheesy cheese,Kellogg asia products sdn bhd,00100097280719,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
164,Nestle Cereal Breakfast Koko Krunch Maxx,Nestle koko krunch maxx,Nestle philippines inc,00190019790402,"0,5",1,"serealia,tepung beras,gula,minyak nabati,kakao bubuk,susu skim bubuk,sirup glukosa,mineral,Ekstrak Malt,maltodekstrin,pengemulsi nabati,garam,Perisa Alamii,premiks vitamin,mineral,Antioksidan AlfAlfa Tokoferol,padatan susu,mineral,premiks vitamin,Pengemulsi Lesitin Kedelai","serealia, tepung beras, gula, minyak nabati, kakao bubuk, susu skim bubuk, sirup glukosa,  mineral, ektrak malt, maltodekstrin, pengemulsi nabati, garam, perisa alami, premiks vitamin dan mineral, dan antioksiadan tokoferol campuran pekat. dancow: padatan susu,  mineral, premiks vitamin, pengemulsi lesitin kedelai.",serealia, tepung beras, gula, minyak nabati, kakao bubuk, susu skim bubuk, sirup glukosa,  mineral, ektrak malt, maltodekstrin, pengemulsi nabati, garam, perisa alami, premiks vitamin dan mineral, dan antioksiadan tokoferol campuran pekat dancow padatan susu,  mineral, premiks vitamin, pengemulsi lesitin kedelai,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
165,Sarimi Mi Instan Goreng (Isi 2) Ayam Kecap,Sarimi mi instan goreng rasa ayam kecap (isi 2),Pt. indofood cbp sukses makmur tbk divisi noodle,00090000300799,"0,4705882353",1,"tepung terigu,minyak sayur,tepung tapioka,garam,pengatur keasaman,pemantap,antioksidan,pemantap makanan,tartrazin ci,garam,gula,mononatrium glutamat,perisa ayam,bubuk bawang putih,pewarna karamel,bubuk lada,Cabai Bubuk,minyak sayur,bawang merah,gula,air,kedelai,gandum,garam,natrium benzoat,minyak nabati,sayuran kering","tepung terigu, minyak sayur, tepung tapioka, garam, pengatur keasaman, pemantap, antioksidan (tbhq), pemantap makanan (tartrazin ci ). bumbu: garam, gula, penguat rasa (mononatrium glutamat (msg), perisa ayam, bubuk bawang putih, pewarna karamel, bubuk lada dan bubuk cabe. minyak: minyak sayur dan bawang merah. kecap manis: gula (mengandung sulfit), air, kedelai, gandum, garam, bumbu & rempah-rempah, pengawet (natrium benzoat), minyak nabati. bahan pelengkap: sayuran kering.",tepung terigu, minyak sayur, tepung tapioka, garam, pengatur keasaman, pemantap, antioksidan tbhq, pemantap makanan tartrazin ci  bumbu garam, gula, penguat rasa mononatrium glutamat msg, perisa ayam, bubuk bawang putih, pewarna karamel, bubuk lada dan bubuk cabe minyak minyak sayur dan bawang merah kecap manis gula mengandung sulfit, air, kedelai, gandum, garam, bumbu  rempahrempah, pengawet natrium benzoat, minyak nabati bahan pelengkap sayuran kering,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
166,Tao Kae Noi Tempura Seaweed Salted Egg,Tao kae noi tempura seaweed salted egg original flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,"0,4666666667",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
167,Ayam Brand Baked Beans In Tomato Sauce,Ayam brand baked beans in tomato sauce / kacang dalam saus tomat,Pt. faretina (pabrik di vietnam),00190088270418,"0,4666666667",1,"kacang,air,gula,pasta tomat,pengental Pati Termodifikasi,garam,cuka,rempah","kacang, air, gula, pasta tomat, pengental pati modifikasi, garam, cuka, rempah",kacang, air, gula, pasta tomat, pengental pati modifikasi, garam, cuka, rempah,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
168,Krakakoa Bark Milk Chocolate Seed & Grain Sourdough,Krakakoa - chocolate bark milk chocolate with  seed &amp; grain sourdough,Pt. aneka coklat kakoa,00110071940215,"0,4666666667",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
169,Tao Kae Noi Crispy Seaweed Hot & Spicy,Tao kae noi crispy seaweed hot &amp; spicy flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,"0,4666666667",1,"seaweed,palm oil,pepper,chilli,salt,flovour enchancer","seaweed, palm oil, pepper, chilli, salt, flovour enchancer,",seaweed, palm oil, pepper, chilli, salt, flovour enchancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
170,Sedaap Mie Tasty Bakmi Ayam Geprek Matah,Mie sedaap bakmi ayam geprek matah,"Karunia alam segar (divisi mie), pt.",114/spkp/mui-jatim,"0,4615384615",1,"tepung terigu,minyak nabati,garam,pengental nabati,pengatur keasaman,pewarna tartazin,garam,gula,penguat rasa,Perisa Alamii bawang putih,bawang merah,bubuk lada,vitamin a,minyak,bawang goreng,sambal matah","mi: tepung terigu, minyak nabati, garam, pengental nabati, pengatur keasaman, pewarna tartazin. bumbu bubuk: garam, gula, penguat rasa, perisa alami bawang putih, bawang merah, bubuk lada, viatamin a. minyak, bawang goreng, sambal matah.",mi tepung terigu, minyak nabati, garam, pengental nabati, pengatur keasaman, pewarna tartazin bumbu bubuk garam, gula, penguat rasa, perisa alami bawang putih, bawang merah, bubuk lada, viatamin a minyak, bawang goreng, sambal matah,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
171,Tao Kae Noi Crispy Seaweed Original,Tao kae noi crispy seaweed original flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,"0,4615384615",1,"seaweed,palm oil,pepper,chilli,salt,flovour enchancer","seaweed, palm oil, pepper, chilli, salt, flovour enchancer.",seaweed, palm oil, pepper, chilli, salt, flovour enchancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
172,Lee Kum Kee Pure Sesame Oil,Lee kum kee pure sesame oil,Low seat hoon sesame oil food industry sdn bhd,00080096190619,"0,4615384615",1,minyak wijen,minyak wijen,minyak wijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
173,Tao Kae Noi Tempura Seaweed Original,Tao kae noi hi tempura seaweed original,Tao kae noi food &amp; marketing public company limited,00100078080816,"0,4615384615",1,"tepung terigu,rumput laut,Pati Termodifikasi,minyak nabati,Bubuk Telur,garam,gula,Protein Kedelai Terhidrolisis,bubuk lada putih,natrium Inosinat,natrium guanilat,bubuk bawang putih","tepung terigu,rumput laut, pati modifikasi, minyak nabati, bubuk telur putih, garam , gula, protein kedelai terhidrolisa, bubuk lada putih, penguat rasa ( natrium inosinat, natrium guanilat), bubuk bawang putih.",tepung terigu,rumput laut, pati modifikasi, minyak nabati, bubuk telur putih, garam , gula, protein kedelai terhidrolisa, bubuk lada putih, penguat rasa  natrium inosinat, natrium guanilat, bubuk bawang putih,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
174,Tao Kae Noi Crispy Seaweed Tomato,Tao kae noi crispy seaweed tomato flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,"0,4615384615",1,"rumput laut minyak kelapa sawit,gula,tomat bubuk,protein kedelai,terhidrolisasi,garam,dinatrium Inosinat,dinatrium guanilat,asam sitrat","rumput laut minyak kelapa sawit,gula, tomat bubuk (.%), protein kedelai,terhidrolisasi,garam,penguat rasa dinatrium inosinat dan dinatrium guanilat, penguat keasaman asam sitrat",rumput laut minyak kelapa sawit,gula, tomat bubuk , protein kedelai,terhidrolisasi,garam,penguat rasa dinatrium inosinat dan dinatrium guanilat, penguat keasaman asam sitrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
175,Ayam Brand Tuna Chunks In Oil,Ayam brand tuna chunks  dalam minyak (tuna chunks  in oil ),Pt. citraraja ampat canning,00030008350698,"0,4615384615",1,"ikan tuna,minyak kedelai,air,garam","ikan tuna, minya kedelai, air, garam",ikan tuna, minya kedelai, air, garam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
176,Tao Kae Noi Crispy Seaweed Seafood,Tao kae noi crispy seaweed seafood flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,"0,4615384615",1,"rumput laut,minyak kelapa sawit,gula,seafood bubuk,bawang putih,lada putih,bawang bombay,ketumbar,Protein Kedelai Terhidrolisis,garam,penguat rasa,dinatrium Inosinat ,dinatrium guanilat","rumput laut (%), minyak kelapa sawit, gula, seafood bubuk (sotong, udang), bumbu ( bawang putih, lada putih, bawang bombay, ketumbar), protein kedelai terhifrolisasi, garam, penguat rasa, dinatrium inosinat dan dinatrium guanilat,",rumput laut , minyak kelapa sawit, gula, seafood bubuk sotong, udang, bumbu  bawang putih, lada putih, bawang bombay, ketumbar, protein kedelai terhifrolisasi, garam, penguat rasa, dinatrium inosinat dan dinatrium guanilat,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
177,Sedaap Mie Instant Ayam Bawang Telur,Mie sedaap instant mi kuah rasa ayam bawang telur,Prakarsa alam segar pt.,00090036380805,"0,4615384615",1,"tepung terigu,minyak nabati,pengemulsi pati asetat,garam,pengental nabati,pengatur keasaman,Pewarna Tartazin,zat besi,garam,gula,mononatrium glutamat,bubuk bawang merah,perisa artifisial ayam,lada bubuk,perisa identik alami bawang putih,daun bawang,vitamin a,vitamin b,niasin,asam folat,Cabai bubuk,minyak nabati,bawang merah,telur","mi: tepung terigu, minyak nabati (mengandung antioksidan tbhq), pengemulsi pati asetat, garam, pengental nabati, pengatur keasaman, pewarna (tartrazin ci) dan zat besi. bumbu : garam, gula, penguat rasa (mononatrium glutamat), bubuk bawang merah, perisa artifisial ayam, lada bubuk .%, perisa identik alami bawang putih, daun bawang, vitamin a,b,b,b,b, niasin, asam folat. cabe bubuk .%. minyak : minyak nabati (mengandung antioksidan tbhq dan bawang merah .%. pelengkap : telur ker",mi tepung terigu, minyak nabati mengandung antioksidan tbhq, pengemulsi pati asetat, garam, pengental nabati, pengatur keasaman, pewarna tartrazin ci dan zat besi bumbu  garam, gula, penguat rasa mononatrium glutamat, bubuk bawang merah, perisa artifisial ayam, lada bubuk , perisa identik alami bawang putih, daun bawang, vitamin a,b,b,b,b, niasin, asam folat cabe bubuk  minyak  minyak nabati mengandung antioksidan tbhq dan bawang merah  pelengkap  telur ker,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
178,Mamasuka Rumput Laut Panggang (Nori) Salted Egg,Rumput laut panggang (nori) mamasuka,Pt. aneka boga nusantara,00190080261216,"0,4545454545",1,"rumput laut,minyak nabati,bumbu rasa telur asin,garam gurih,perisa sintetik telur asin","rumput laut, minyak nabati, bumbu rasa telur asin, garam gurih, perisa sintetik telur asin.",rumput laut, minyak nabati, bumbu rasa telur asin, garam gurih, perisa sintetik telur asin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
179,Roma Biscuit Sandwich Peanut Butter,Roma biscuit sandwich peanut butter (krim kacang),Pt. mayora indah tbk,00100014301200,"0,4545454545",1,"tepung terigu,minyak nabati,gula,pasta kacang,krimer nabati,whey glukosa,maltodekstrin,pengembang,dekstrosa,garam,perisa sintetik","tepung terigu, minyak nabati, gula, pasta kacang, krimer nabati, whey glukosa, maltodekstrin, pengembang, dekstrosa, garam, perisa sintetik.",tepung terigu, minyak nabati, gula, pasta kacang, krimer nabati, whey glukosa, maltodekstrin, pengembang, dekstrosa, garam, perisa sintetik,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
180,Tropicana Slim Cookies Diabetamil Nutty Chocolate,Tropicana slim sugar free cookies nutty chocolate,Pt. nutrifood indonesia,00100048590808,"0,4545454545",1,"tepung terigu,margarin,mentega,Maltitol,telur,susu skim Cokelat bubuk,kacang tanah,emping jagung,oat,karamel,pengembang,pengemulsi nabati,asesulfam-k,kalium sorbat,perisa artifisial vanili,sukralosa","tepung terigu, margarin, mentega, pemanis maltitol (g/saji), telur, susu skim coklat bubuk, kacang tanah, emping jagung, oat, karamel, pengembang, pengemulsi nabati, pemanis buatan asesulfam-k mg/saji (adi: /mg/kg berat badan/hari), pengawet kalium sorbat, perisa artifisial vanila, pemanis buatas sukralosa mg/saji (adi:mg/kg berat bdan/hari).",tepung terigu, margarin, mentega, pemanis maltitol gsaji, telur, susu skim coklat bubuk, kacang tanah, emping jagung, oat, karamel, pengembang, pengemulsi nabati, pemanis buatan asesulfamk mgsaji adi mgkg berat badanhari, pengawet kalium sorbat, perisa artifisial vanila, pemanis buatas sukralosa mgsaji adimgkg berat bdanhari,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
181,Khong Guan Crackers Malkist Salut Cokelat,Khong guan malkist salut cokelat,Pt. khong guan biscuit factory indonesia ltd,00100039280306,"0,4545454545",1,"tepung terigu,Cokelat pelapis,gula,lemak reroti,tapioka,susu bubuk,garam,ekstrak malt,ragi,pengembang","tepung terigu, cokelat pelapis, gula, lemak reroti, tapioka, susu bubuk, garam, ekstrak malt, ragi, pengembang,",tepung terigu, cokelat pelapis, gula, lemak reroti, tapioka, susu bubuk, garam, ekstrak malt, ragi, pengembang,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
182,Mamasuka Rumput Laut Panggang (Nori) Sapi Panggang Korea,Rumput laut panggang (nori) mamasuka,Pt. aneka boga nusantara,00190080261216,"0,4545454545",1,"rumput laut,minyak nabati,bumbu rasa korean bbq","rumput laut, minyak nabati, bumbu rasa korean bbq.",rumput laut, minyak nabati, bumbu rasa korean bbq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
183,Gery Wafer Roll Chocolatos Dark,Gery chocolatos dark wafer roll,Pt. garudafood putra putri jaya tbk,00100014221200,"0,4545454545",1,"gula,tepung terigu,Cokelat bubuk,minyak nabati,lemak reroti,krimer nabati,dekstrosa monohidrat,tepung tapioka,pewarna alami,pengemulsi nabati,garam,perisa sintetik","gula, tepung terigu, cokelat bubuk, minyak nabati, lemak reroti, krimer nabati, dekstrosa monohidrat, tepung tapioka, pewarna alami, pengemulsi nabati, garam, perisa sintetik",gula, tepung terigu, cokelat bubuk, minyak nabati, lemak reroti, krimer nabati, dekstrosa monohidrat, tepung tapioka, pewarna alami, pengemulsi nabati, garam, perisa sintetik,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
184,Monde Cookies Serena Egg Roll Pandan,Monde serena kukis egg roll rasa pandan,Pt. monde mahkota biskuit,00100039290306,"0,4545454545",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
185,Khong Guan Marie Salut Cokelat,Khong guan biskuit marie salut cokelat,Pt. khong guan biscuit factory indonesia ltd,00100039280306,"0,4545454545",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
186,Kata Oma Snack Telur Gabus Telur Asin,Kata oma telur gabus rasa telur asin,Pt. fonusa agung mulia,00100100881219,"0,4545454545",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
187,Ichi Ocha Minuman Teh Melati,Ichi ocha minuman teh dengan dua melati,Pt. anugerah indofood barokah makmur,00120038970306,"0,4545454545",1,"air,gula,daun teh melati,natrium bikarbonat,kalium karbonat,antioksidan,asam askorbat,perisa identik alami","air, gula, daun teh melati (.%), pengatur keasaman natrium bikarbonat dan kalium karbonat, antioksidan asam askorbat, perisa identik alami.",air, gula, daun teh melati , pengatur keasaman natrium bikarbonat dan kalium karbonat, antioksidan asam askorbat, perisa identik alami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
188,Sasa Tepung Bumbu Serbaguna Original,Tepung bumbu serbaguna original sasa,Pt. sasa inti ( plant cikarang ),00060020020502,"0,4545454545",1,"tepung terigu,tepung tapioka,garam,mononatrium glutamat,rempah-rempah,natrium bikarbonat","tepung terigu, tepung tapioka, garam, penguat rasa mononatrium glutamat (msg), rempah-rempah, pengembang natrium bikarbonat.",tepung terigu, tepung tapioka, garam, penguat rasa mononatrium glutamat msg, rempahrempah, pengembang natrium bikarbonat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
189,Kata Oma Snack Telur Gabus Keju,Kata oma telur gabus rasa keju,Pt. fonusa agung mulia,00100100881219,"0,4545454545",1,"tepung tapioka,telur,keju,minyak kelapa sawit,margarin,bumbu ayam,garam,pengembang baking powder","tepung tapioka, telur (.%), keju (.%), minyak kelapa sawit, margarin, bumbu ayam, garam, pengembang baking powder",tepung tapioka, telur , keju , minyak kelapa sawit, margarin, bumbu ayam, garam, pengembang baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
190,Wrp Everyday Low Fat Milk Choco Hazelnut,Wrp everyday low fat milk chocolate,Pt. nutrifood indonesia,00040029270404,"0,4545454545",1,"susu bubuk skim,gula pasir,maltodekstrin,Cokelat bubuk,serat inulin,kalsium kaseinat,susu bubuk full krim,kalsium karbonat,krimer nabati,premiks vitamin,Premiks Mineral,perisa sintetik,penstabil nabati,kalium klorida,garam nacl,glikosida steviol","susu bubuk skim, gula pasir, maltodekstrin, cokelat bubuk (%), serat inulin, kalsium kaseinat, susu bubuk full krim, kalsium karbonat, krimer nabati, premiks vitamin dan mineral, perisa sintetik, penstabil nabati, kalium klorida, garam naci, pemanis alami glikosida steviol.",susu bubuk skim, gula pasir, maltodekstrin, cokelat bubuk , serat inulin, kalsium kaseinat, susu bubuk full krim, kalsium karbonat, krimer nabati, premiks vitamin dan mineral, perisa sintetik, penstabil nabati, kalium klorida, garam naci, pemanis alami glikosida steviol,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
192,Laverland Crunch Seaweed Strips Rice Pop,Laverland crunch crispy seaweed snack rice pop,Asia food co.-korea,00100082470417,"0,4545454545",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
193,Frisian Flag Susu Cair Junio Cokelat,Frisian flag minuman susu uht junio rasa cokelat,Pt. frisian flag indonesia,00040040520606,"0,4545454545",1,"Susu Sapi,sukrosa,susu bubuk skim,campuran lemak,mineral,kalsium karbonat,magnesium karbonat,penstabil nabati,perisa Cokelat,vitamin c,vitamin a,niasin,vitamin b,vitamin d","susu sapi segar, sukrosa, susu bubuk skim, campuran lemak, mineral (kalsium karbonat dan magnesium karbonat), penstabil nabati, perisa coklat, vitamin (c, a (mengandung antioksidan tokoferol), niasin, b, b, d (mengandung antioksidan tokoferol).",susu sapi segar, sukrosa, susu bubuk skim, campuran lemak, mineral kalsium karbonat dan magnesium karbonat, penstabil nabati, perisa coklat, vitamin c, a mengandung antioksidan tokoferol, niasin, b, b, d mengandung antioksidan tokoferol,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
196,Adem Sari Ching Ku Herbal Tea,Adem sari ching ku,Pt. bandeng juwana,15100045840320,"0,4444444444",1,"air berkarbonat,air,gula,apple juice concentrate,black tea,perisa sintetik lemon honey,garam,asam sitrat,perisa sintetik fresh lime,ekstrak wheat grass,ekstrak krisantemum,ekstrak mint","air berkarbonat, air, gula, apple juice concentrate, black tea (,%), perisa sintetik lemon honey, garam, asam sitrat, perisa sintetik fresh lime, ekstrak wheat grass, ekstrak krisantemum (,), ekstrak mint (,%)",air berkarbonat, air, gula, apple juice concentrate, black tea ,, perisa sintetik lemon honey, garam, asam sitrat, perisa sintetik fresh lime, ekstrak wheat grass, ekstrak krisantemum ,, ekstrak mint ,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
197,Adem Sari Ching Ku Minuman Penyejuk,Adem sari ching ku,Pt. bandeng juwana,15100045840320,"0,4444444444",1,"air,gula,fruktosa,madu,konsentrat jus lemon,konsentrat jus apel,perisa jeruk nipis,asam sitrat,asam malat","air, gula, fruktosa, madu, konsentrat jus lemon, konsentrat jus apel, perisa jeruk nipis, pengatur keasaman asam sitrat dan asam malat.",air, gula, fruktosa, madu, konsentrat jus lemon, konsentrat jus apel, perisa jeruk nipis, pengatur keasaman asam sitrat dan asam malat,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
199,Nabati Vitakrim Wafer Raspberry Yoghurt,Nabati vitakrim raspberry yoghurt,Pt. kaldu sari nabati indonesia,00100062440912,"0,4444444444",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
200,Roma Crackers Malkist Kelapa Kopyor,Roma malkist kelapa kopyor,Pt. mayora indah tbk,00100014301200,"0,4444444444",1,"tepung terigu,minyak nabati,gula,glukosa,kelapa kering,pengembang,garam,ragi,susu bubuk,perisa sintetik","tepung terigu, minyak nabati, gula, glukosa, kelapa kering, pengembang, garam, ragi, susu bubuk, perisa sintetik.",tepung terigu, minyak nabati, gula, glukosa, kelapa kering, pengembang, garam, ragi, susu bubuk, perisa sintetik,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
203,Roma Crackers Malkist Keju Tabur,Roma malkist keju tabur,Pt. mayora indah tbk,00100014301200,"0,4444444444",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
204,Sosro Teh Botol Jasmine Tea,Teh sosro heritage jasmine tea,Pt. gunung slamat,00120000980699,"0,4444444444",1,"air,gula,ekstrak teh melati,asam askorbat","air, gula, ekstrak teh melati dan antioksidan (asam askorbat).",air, gula, ekstrak teh melati dan antioksidan asam askorbat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
