,Produk,produkindo,produkmui,produsen,sertif,nilai
487,Dua Kelinci Kacang Sangrai|Dua kelinci kacang sangrai|Pt. dua kelinci|00100017571001|0.8,Dua Kelinci Kacang Sangrai,Dua kelinci kacang sangrai,Pt. dua kelinci,00100017571001,0.8
483,Dua Kelinci Kacang Polong Polongmas Ayam Bawang|Dua kelinci polongmas kacang polong rasa ayam bawang|Pt. dua kelinci|00100017571001|0.7777777777777778,Dua Kelinci Kacang Polong Polongmas Ayam Bawang,Dua kelinci polongmas kacang polong rasa ayam bawang,Pt. dua kelinci,00100017571001,0.7777777777777778
394,Dua Kelinci Jagung Presto Bawang Putih|Dua kelinci jagung presto rasa bawang putih|Pt. dua kelinci|00100017571001|0.75,Dua Kelinci Jagung Presto Bawang Putih,Dua kelinci jagung presto rasa bawang putih,Pt. dua kelinci,00100017571001,0.75
548,Frisian Flag Susu Bubuk Full Cream|Frisian flag susu bubuk full cream|Pt. frisian flag indonesia|00040040520606|0.75,Frisian Flag Susu Bubuk Full Cream,Frisian flag susu bubuk full cream,Pt. frisian flag indonesia,00040040520606,0.75
395,Dua Kelinci Jagung Presto Pedas Manis|Dua kelinci jagung presto rasa pedas manis|Pt. dua kelinci|00100017571001|0.75,Dua Kelinci Jagung Presto Pedas Manis,Dua kelinci jagung presto rasa pedas manis,Pt. dua kelinci,00100017571001,0.75
91,Frisian Flag Krimer Kental Manis Omela|Omela krimer kental manis|Pt. frisian flag indonesia|00040040520606|0.75,Frisian Flag Krimer Kental Manis Omela,Omela krimer kental manis,Pt. frisian flag indonesia,00040040520606,0.75
200,Good Family Biscuit Assorted|Good family biscuit assorted|Pt. inkubisc|00100077860716|0.6666666666666666,Good Family Biscuit Assorted,Good family biscuit assorted,Pt. inkubisc,00100077860716,0.6666666666666666
661,Van Houten Cocoa Powder|Van houten cocoa powder|Pt. ceres|00110040600606|0.6666666666666666,Van Houten Cocoa Powder,Van houten cocoa powder,Pt. ceres,00110040600606,0.6666666666666666
1114,"Ottogi Honey Citron Tea|Ottogi honey citron tea|Ottogi co., ltd|00120112161220|0.6666666666666666",Ottogi Honey Citron Tea,Ottogi honey citron tea,"Ottogi co., ltd",00120112161220,0.6666666666666666
27,Delfi Hot Cocoa Indulgence|Delfi hot cocoa indulgence|Pt. ceres|00120062600912|0.6666666666666666,Delfi Hot Cocoa Indulgence,Delfi hot cocoa indulgence,Pt. ceres,00120062600912,0.6666666666666666
31,Cadbury Hot Chocolate Drink 3 In 1|Cadbury hot chocolate drink 3 in 1|Cadbury confectionery malaysia sdn bhd|00120068190214|0.6363636363636364,Cadbury Hot Chocolate Drink 3 In 1,Cadbury hot chocolate drink 3 in 1,Cadbury confectionery malaysia sdn bhd,00120068190214,0.6363636363636364
632,Ceres Baking Heritage Chocolate Dark Choco Chip|Ceres baking heritage dark chocolate|Pt. ceres|00110040600606|0.625,Ceres Baking Heritage Chocolate Dark Choco Chip,Ceres baking heritage dark chocolate,Pt. ceres,00110040600606,0.625
653,Frisian Flag Susu Kental Manis Coklat|Frisian flag susu kental manis|Pt. frisian flag indonesia|00040040520606|0.625,Frisian Flag Susu Kental Manis Coklat,Frisian flag susu kental manis,Pt. frisian flag indonesia,00040040520606,0.625
476,Dua Kelinci Kacang Sukro Oven Bawang|Dua kelinci kacang oven rasa bawang|Pt. dua kelinci|00100017571001|0.625,Dua Kelinci Kacang Sukro Oven Bawang,Dua kelinci kacang oven rasa bawang,Pt. dua kelinci,00100017571001,0.625
631,Ceres Baking Heritage Chocolate Milk Choco Chip|Ceres baking heritage milk chocolate|Pt. ceres|00110040600606|0.625,Ceres Baking Heritage Chocolate Milk Choco Chip,Ceres baking heritage milk chocolate,Pt. ceres,00110040600606,0.625
408,Deka Mini Wafer Bites Durian|Deka wafer rolls mini wafer bites durian|Pt. dua kelinci|00100017571001|0.625,Deka Mini Wafer Bites Durian,Deka wafer rolls mini wafer bites durian,Pt. dua kelinci,00100017571001,0.625
411,Deka Mini Wafer Bites Choco Choco|Deka wafer rolls mini wafer bites choco choco|Pt. dua kelinci|00100017571001|0.625,Deka Mini Wafer Bites Choco Choco,Deka wafer rolls mini wafer bites choco choco,Pt. dua kelinci,00100017571001,0.625
1137,Sukses's Mi Instan Kuah Isi 2 Soto Mie|Mi instan sukses's isi 2 mi kuah rasa soto mie|Prakarsa alam segar pt.|00090036380805|0.6153846153846154,Sukses's Mi Instan Kuah Isi 2 Soto Mie,Mi instan sukses's isi 2 mi kuah rasa soto mie,Prakarsa alam segar pt.,00090036380805,0.6153846153846154
471,Dua Kelinci Snack Pilus Tic Tac Sapi Panggang|Tic tac pilus rasa sapi panggang|Pt. dua kelinci|00100017571001|0.6,Dua Kelinci Snack Pilus Tic Tac Sapi Panggang,Tic tac pilus rasa sapi panggang,Pt. dua kelinci,00100017571001,0.6
699,Qtela Keripik Singkong Balado|Keripik singkong balado ante|Keripik ante|02120012290618|0.6,Qtela Keripik Singkong Balado,Keripik singkong balado ante,Keripik ante,02120012290618,0.6
693,Qtela Keripik Tempe Original|Keripik tempe original|Keripik tempe tempelan|05100021541120|0.6,Qtela Keripik Tempe Original,Keripik tempe original,Keripik tempe tempelan,05100021541120,0.6
381,Kusuka Keripik Singkong Balado|Keripik singkong balado ante|Keripik ante|02120012290618|0.6,Kusuka Keripik Singkong Balado,Keripik singkong balado ante,Keripik ante,02120012290618,0.6
514,Karuhun Keripik Singkong Original|Kita-kita keripik singkong original|Kita-kita|09100013370720|0.6,Karuhun Keripik Singkong Original,Kita-kita keripik singkong original,Kita-kita,09100013370720,0.6
376,Kusuka Keripik Singkong Original|Kita-kita keripik singkong original|Kita-kita|09100013370720|0.6,Kusuka Keripik Singkong Original,Kita-kita keripik singkong original,Kita-kita,09100013370720,0.6
520,Kacang Bawang Oven|Kacang bawang oven|Ud. suryadi|03100025630719|0.6,Kacang Bawang Oven,Kacang bawang oven,Ud. suryadi,03100025630719,0.6
654,Indomaret Gula Merah|Gula merah indomaret|Pd upebe|01231244961219|0.6,Indomaret Gula Merah,Gula merah indomaret,Pd upebe,01231244961219,0.6
126,Selamat Wafer Chocolate|Selamat wafer chocolate|Pt. ceres|00100029330404|0.6,Selamat Wafer Chocolate,Selamat wafer chocolate,Pt. ceres,00100029330404,0.6
977,Indomaret Popcorn Caramel|Popcorn caramel indomaret|Sinar convenience|00100096280619|0.6,Indomaret Popcorn Caramel,Popcorn caramel indomaret,Sinar convenience,00100096280619,0.6
848,Indomaret Keripik Pisang Madu|Keripik pisang madu|Wianda|05100020271120|0.6,Indomaret Keripik Pisang Madu,Keripik pisang madu,Wianda,05100020271120,0.6
669,Kewpie Mayonnaise Original|Kewpie mayonnaise original|Pt. kewpie indonesia|00060070010914|0.6,Kewpie Mayonnaise Original,Kewpie mayonnaise original,Pt. kewpie indonesia,00060070010914,0.6
972,Indomaret Snack Kue Tambang|Kue tambang yosita snack|Yosita snack|15100039370819|0.6,Indomaret Snack Kue Tambang,Kue tambang yosita snack,Yosita snack,15100039370819,0.6
695,Qtela Keripik Singkong Original|Kita-kita keripik singkong original|Kita-kita|09100013370720|0.6,Qtela Keripik Singkong Original,Kita-kita keripik singkong original,Kita-kita,09100013370720,0.6
224,Luwak Kopi Bubuk Murni|Kopi bubuk murni|Plppompti kopi murni|15120039380819|0.6,Luwak Kopi Bubuk Murni,Kopi bubuk murni,Plppompti kopi murni,15120039380819,0.6
220,Nescafe Coffee Cream|Nescafe coffee cream|Cv. mam|15160050940620|0.6,Nescafe Coffee Cream,Nescafe coffee cream,Cv. mam,15160050940620,0.6
1112,Kongbap Multi Grain Mix Chia Seed & Quinoa|Kongbap chia seed   quinoa multi grain mix|Cv. herba liem putra|00190083340417|0.5833333333333334,Kongbap Multi Grain Mix Chia Seed & Quinoa,Kongbap chia seed   quinoa multi grain mix,Cv. herba liem putra,00190083340417,0.5833333333333334
945,Tao Kae Noi Crispy Seaweed Tom Yum Goong|Tao kae noi crispy seaweed tom yum goong|Tao kae noi food &amp; marketing public company limited|00100078080816|0.5714285714285714,Tao Kae Noi Crispy Seaweed Tom Yum Goong,Tao kae noi crispy seaweed tom yum goong,Tao kae noi food &amp; marketing public company limited,00100078080816,0.5714285714285714
168,Golda Coffee Drink Dolce Latte|Golda coffee dolce latte|Cv. mam|15160050940620|0.5714285714285714,Golda Coffee Drink Dolce Latte,Golda coffee dolce latte,Cv. mam,15160050940620,0.5714285714285714
64,Minute Maid Juice Pulpy White Grape Nata De Coco|Minute maid pulpy white grape with nata de coco|Pt. coca-cola bottling indonesia|00120071760115|0.5714285714285714,Minute Maid Juice Pulpy White Grape Nata De Coco,Minute maid pulpy white grape with nata de coco,Pt. coca-cola bottling indonesia,00120071760115,0.5714285714285714
1042,Delfi Chocolate Cha Cha Milk|Delfi cha cha milk chocolate compound|Pt. ceres|00110040600606|0.5714285714285714,Delfi Chocolate Cha Cha Milk,Delfi cha cha milk chocolate compound,Pt. ceres,00110040600606,0.5714285714285714
630,Tulip Dark Chocolate Compound|Tulip dark chocolate compound|Pt. freyabadi indotama| 00110004850699|0.5714285714285714,Tulip Dark Chocolate Compound,Tulip dark chocolate compound,Pt. freyabadi indotama, 00110004850699,0.5714285714285714
668,Ceres Bubuk Puding Cokelat|Ceres delight bubuk puding instan cokelat|Pt. ceres|00260066400913|0.5714285714285714,Ceres Bubuk Puding Cokelat,Ceres delight bubuk puding instan cokelat,Pt. ceres,00260066400913,0.5714285714285714
36,Yeo's Drink Grass Jelly|Yeo's grass jelly drink|Pt. yhs indonesia|00120065430613|0.5714285714285714,Yeo's Drink Grass Jelly,Yeo's grass jelly drink,Pt. yhs indonesia,00120065430613,0.5714285714285714
584,Nestea Thai Milk Tea|Nestea thai milk tea|Nestle (thai) ltd|00120042521106|0.5714285714285714,Nestea Thai Milk Tea,Nestea thai milk tea,Nestle (thai) ltd,00120042521106,0.5714285714285714
992,Indomaret Kacang Asin Panggang|Indomaret kacang asin panggang|Pt. gunanusa eramandiri|00100003000696|0.5714285714285714,Indomaret Kacang Asin Panggang,Indomaret kacang asin panggang,Pt. gunanusa eramandiri,00100003000696,0.5714285714285714
479,Dua Kelinci Kacang Sukro Bersalut Kedele|Sukro kacang bersalut|Pt. dua kelinci|00100017571001|0.5714285714285714,Dua Kelinci Kacang Sukro Bersalut Kedele,Sukro kacang bersalut,Pt. dua kelinci,00100017571001,0.5714285714285714
475,Dua Kelinci Snack Krip Krip Banana Crunch|Krip krip banana crunch|Pt. dua kelinci|00100017571001|0.5714285714285714,Dua Kelinci Snack Krip Krip Banana Crunch,Krip krip banana crunch,Pt. dua kelinci,00100017571001,0.5714285714285714
634,Rose Brand Gula Halus|Gula halus rose brand|Pt. adikarya gemilang|00230067141113|0.5714285714285714,Rose Brand Gula Halus,Gula halus rose brand,Pt. adikarya gemilang,00230067141113,0.5714285714285714
672,Munik Bumbu Ayam Goreng|Bumbu ayam goreng munik|Pt. sarimunik mandiri|00060038330206	|0.5714285714285714,Munik Bumbu Ayam Goreng,Bumbu ayam goreng munik,Pt. sarimunik mandiri,00060038330206	,0.5714285714285714
1040,Toll Milk Candy Assorted Pck|Toll milk candy assorted|Pt. inkubisc| 00110077870716|0.5714285714285714,Toll Milk Candy Assorted Pck,Toll milk candy assorted,Pt. inkubisc, 00110077870716,0.5714285714285714
85,Frisian Flag Canister Susu Kental Manis Coklat|Frisian flag susu kental manis|Pt. frisian flag indonesia|00040040520606|0.5555555555555556,Frisian Flag Canister Susu Kental Manis Coklat,Frisian flag susu kental manis,Pt. frisian flag indonesia,00040040520606,0.5555555555555556
7,Nestle Air Mineral Pure Life|Air mineral nestle pure life|Pt. kuliner sukses inovatif|00160101680120|0.5555555555555556,Nestle Air Mineral Pure Life,Air mineral nestle pure life,Pt. kuliner sukses inovatif,00160101680120,0.5555555555555556
1180,Pronas Sardines In Tomato Sauce|Sardines in tomato sauce pronas|Pt. gema ista raya|00030072900615|0.5555555555555556,Pronas Sardines In Tomato Sauce,Sardines in tomato sauce pronas,Pt. gema ista raya,00030072900615,0.5555555555555556
349,Mamasuka Rumput Laut Panggang (Nori)|Rumput laut panggang (nori) mamasuka|Pt. aneka boga nusantara|00190080261216|0.5555555555555556,Mamasuka Rumput Laut Panggang (Nori),Rumput laut panggang (nori) mamasuka,Pt. aneka boga nusantara,00190080261216,0.5555555555555556
96,Frisian Flag Kental Manis Cocopandan|Frisian flag krimer kental manis rasa cocopandan|Pt. frisian flag indonesia|00040040520606|0.5555555555555556,Frisian Flag Kental Manis Cocopandan,Frisian flag krimer kental manis rasa cocopandan,Pt. frisian flag indonesia,00040040520606,0.5555555555555556
83,Frisian Flag Gold Kental Manis Putih|Frisian flag susu kental manis gold|Pt. frisian flag indonesia|00040040520606|0.5555555555555556,Frisian Flag Gold Kental Manis Putih,Frisian flag susu kental manis gold,Pt. frisian flag indonesia,00040040520606,0.5555555555555556
364,Lemonilo Chimi Keripik Ubi Jagung Bakar|Lemonilo chimi keripik ubi rasa jagung bakar|Pt. universal cipta pangan|00100048400708|0.5454545454545454,Lemonilo Chimi Keripik Ubi Jagung Bakar,Lemonilo chimi keripik ubi rasa jagung bakar,Pt. universal cipta pangan,00100048400708,0.5454545454545454
361,Lemonilo Chimi Keripik Ubi Jagung Balado|Lemonilo chimi keripik ubi rasa jagung balado|Pt. universal cipta pangan|00100048400708|0.5454545454545454,Lemonilo Chimi Keripik Ubi Jagung Balado,Lemonilo chimi keripik ubi rasa jagung balado,Pt. universal cipta pangan,00100048400708,0.5454545454545454
1213,Mamasuka Delisaos Saus Tiram Udang & Jamur|Mamasuka delisaos saus tiram dengan udang dan jamur|Pt. aneka boga nusantara|00060043580307|0.5454545454545454,Mamasuka Delisaos Saus Tiram Udang & Jamur,Mamasuka delisaos saus tiram dengan udang dan jamur,Pt. aneka boga nusantara,00060043580307,0.5454545454545454
825,Mamasuka Rumput Laut Panggang (Nori) Pedas|Rumput laut panggang (nori) rasa pedas mamasuka|Pt. aneka boga nusantara|00190080261216|0.5454545454545454,Mamasuka Rumput Laut Panggang (Nori) Pedas,Rumput laut panggang (nori) rasa pedas mamasuka,Pt. aneka boga nusantara,00190080261216,0.5454545454545454
949,Tao Kae Noi Crispy Seaweed Japanese Sauce|Tao kae noi crispy seaweed japanese sauce|Tao kae noi food &amp; marketing public company limited|00100078080816|0.5384615384615384,Tao Kae Noi Crispy Seaweed Japanese Sauce,Tao kae noi crispy seaweed japanese sauce,Tao kae noi food &amp; marketing public company limited,00100078080816,0.5384615384615384
1208,Nissin Mikuya Ramen Ala Jepang Kaldu Ayam|Mikuya ramen mi instan rasa kaldu ayam ala jepang|Pt. nissin foods indonesia|00090005000297|0.5384615384615384,Nissin Mikuya Ramen Ala Jepang Kaldu Ayam,Mikuya ramen mi instan rasa kaldu ayam ala jepang,Pt. nissin foods indonesia,00090005000297,0.5384615384615384
952,Tao Kae Noi Crispy Seaweed Big Sheet Japanese Sauce|Tao kae noi crispy big sheet japanese sauce|Tao kae noi food &amp; marketing public company limited|00100078080816|0.5333333333333333,Tao Kae Noi Crispy Seaweed Big Sheet Japanese Sauce,Tao kae noi crispy big sheet japanese sauce,Tao kae noi food &amp; marketing public company limited,00100078080816,0.5333333333333333
482,Dua Kelinci Kacang Polong Polongmas Barbeque|Dua kelinci kacang polong (original)|Pt. dua kelinci|00100017571001|0.5,Dua Kelinci Kacang Polong Polongmas Barbeque,Dua kelinci kacang polong (original),Pt. dua kelinci,00100017571001,0.5
289,X'tragin Minuman Jahe Merah|Minuman jahe merah|Al hatim|13160025160820|0.5,X'tragin Minuman Jahe Merah,Minuman jahe merah,Al hatim,13160025160820,0.5
301,Kayarasa Jahe Merah Instant|Jahe merah instant fafa|Ummi|00120105340720|0.5,Kayarasa Jahe Merah Instant,Jahe merah instant fafa,Ummi,00120105340720,0.5
1032,Nano Nano Candy Milky Coklat|Nano nano milky coklat|Pt. konimex|00110019820402|0.5,Nano Nano Candy Milky Coklat,Nano nano milky coklat,Pt. konimex,00110019820402,0.5
513,Karuhun Keripik Singkong Original Sp|Kita-kita keripik singkong original|Kita-kita|09100013370720|0.5,Karuhun Keripik Singkong Original Sp,Kita-kita keripik singkong original,Kita-kita,09100013370720,0.5
872,Wrp Everyday Chocolate Chip Cookies|Wrp cookies chocolate chip|Pt. nutrifood indonesia|00100048590808|0.5,Wrp Everyday Chocolate Chip Cookies,Wrp cookies chocolate chip,Pt. nutrifood indonesia,00100048590808,0.5
650,Huwi Silky Pudding Taro|Huwi silky pudding rasa taro|Cv. sinarfood healthindo|15250062676020|0.5,Huwi Silky Pudding Taro,Huwi silky pudding rasa taro,Cv. sinarfood healthindo,15250062676020,0.5
352,Mamasuka Bon Nori Original|Mamasuka bon nori original|Pt. aneka boga nusantara|00190080261216|0.5,Mamasuka Bon Nori Original,Mamasuka bon nori original,Pt. aneka boga nusantara,00190080261216,0.5
522,Julie's Sandwich Choco More|Julie's choco more sandwich|Julie’s manufacturing sdn. bhd.|00100084210817|0.5,Julie's Sandwich Choco More,Julie's choco more sandwich,Julie’s manufacturing sdn. bhd.,00100084210817,0.5
523,Julie's Sandwich Peanut Butter|Julie's peanut butter sandwich|Julie’s manufacturing sdn. bhd.|00100084210817|0.5,Julie's Sandwich Peanut Butter,Julie's peanut butter sandwich,Julie’s manufacturing sdn. bhd.,00100084210817,0.5
354,Lovy Butter Cookies Choco Butter|Choco mede|Yona  butter cookies|01201225260419|0.5,Lovy Butter Cookies Choco Butter,Choco mede,Yona  butter cookies,01201225260419,0.5
202,Rocho Wafer Bola Cokelat Kacang|Rocho wafer bola coklat kacang|Pt. inkubisc|00100077860716|0.5,Rocho Wafer Bola Cokelat Kacang,Rocho wafer bola coklat kacang,Pt. inkubisc,00100077860716,0.5
575,Cap Botol Teh Celup Hijau|Teh cap botol celup|Pt. gunung slamat|00120000980699|0.5,Cap Botol Teh Celup Hijau,Teh cap botol celup,Pt. gunung slamat,00120000980699,0.5
130,Garuda Kacang Telur|Kacang telur amazing|Amazing|06100015630320|0.5,Garuda Kacang Telur,Kacang telur amazing,Amazing,06100015630320,0.5
572,Cap Botol Teh Celup Vintage|Teh cap botol celup|Pt. gunung slamat|00120000980699|0.5,Cap Botol Teh Celup Vintage,Teh cap botol celup,Pt. gunung slamat,00120000980699,0.5
274,Fanta Soft Drink Strawberry|Soft drink fanta strawberry|Pt. merek indah lestari|09160013010220|0.5,Fanta Soft Drink Strawberry,Soft drink fanta strawberry,Pt. merek indah lestari,09160013010220,0.5
655,Indomaret Gula Pasir Premium Kuning|Gula pasir kuning indomaret|Pt. sweetindo perkasa|00230110871120|0.5,Indomaret Gula Pasir Premium Kuning,Gula pasir kuning indomaret,Pt. sweetindo perkasa,00230110871120,0.5
898,Roma Crepes Roll Kelapa Wijen 12X7|Roma crepes roll kelapa wijen|Pt. mayora indah tbk|00100014301200|0.5,Roma Crepes Roll Kelapa Wijen 12X7,Roma crepes roll kelapa wijen,Pt. mayora indah tbk,00100014301200,0.5
255,Adem Sari Ching Ku Sparkling|Adem sari ching ku|Pt. bandeng juwana|15100045840320|0.5,Adem Sari Ching Ku Sparkling,Adem sari ching ku,Pt. bandeng juwana,15100045840320,0.5
657,Indomaret Gula Pasir Premium Putih|Gula pasir putih indomaret|Pt. sweetindo perkasa|00230110871120|0.5,Indomaret Gula Pasir Premium Putih,Gula pasir putih indomaret,Pt. sweetindo perkasa,00230110871120,0.5
256,Adem Sari Ching Ku Lemon|Adem sari ching ku|Pt. bandeng juwana|15100045840320|0.5,Adem Sari Ching Ku Lemon,Adem sari ching ku,Pt. bandeng juwana,15100045840320,0.5
307,Bejo Wedang Susu Jahe Merah|Bejo wedang susu jahe merah / bejo sujamer|Pt. bintang toedjoe| 00130089980818|0.5,Bejo Wedang Susu Jahe Merah,Bejo wedang susu jahe merah / bejo sujamer,Pt. bintang toedjoe, 00130089980818,0.5
933,Tini Wini Biti Crackers Cokelat|Tini wini biti whizpy cokelat|Pt. konimex|00100006500997|0.5,Tini Wini Biti Crackers Cokelat,Tini wini biti whizpy cokelat,Pt. konimex,00100006500997,0.5
1175,"Bernardi Sup Merah|Bernardi sup merah|Eloda mitra, pt.|065/spkp/mui-jatim|0.5",Bernardi Sup Merah,Bernardi sup merah,"Eloda mitra, pt.",065/spkp/mui-jatim,0.5
1066,Fs Beras Hitam|Beras hitam alghifari|Alghifari|01331247570520|0.5,Fs Beras Hitam,Beras hitam alghifari,Alghifari,01331247570520,0.5
1048,Indomaret Biscuit Milk Chocolate|Indomaret biscuit  milk chocolate|Pt. marvel food industry|01111129170515|0.5,Indomaret Biscuit Milk Chocolate,Indomaret biscuit  milk chocolate,Pt. marvel food industry,01111129170515,0.5
614,Indomaret Gula Batu|Gula batu indomaret|Pt. sweetindo perkasa|00230110871120|0.5,Indomaret Gula Batu,Gula batu indomaret,Pt. sweetindo perkasa,00230110871120,0.5
1046,Indomaret Blueberry Dark Chocolate|Indomaret blueberry dark chocolate|Pt. marvel food industry|01111129170515|0.5,Indomaret Blueberry Dark Chocolate,Indomaret blueberry dark chocolate,Pt. marvel food industry,01111129170515,0.5
481,Dua Kelinci Kacang Polong Polongku Original|Dua kelinci kacang polong (original)|Pt. dua kelinci|00100017571001|0.5,Dua Kelinci Kacang Polong Polongku Original,Dua kelinci kacang polong (original),Pt. dua kelinci,00100017571001,0.5
623,Budy Jam Selai Kacang|Selai kacang budy jam|Bersama cipta mandiri pt|01251001090405|0.5,Budy Jam Selai Kacang,Selai kacang budy jam,Bersama cipta mandiri pt,01251001090405,0.5
625,Pak Tani Gunung Tepung Tapioka|Tepung tapioka ibu tani gunung|Cv. tani tepung milioner|00220116590321|0.5,Pak Tani Gunung Tepung Tapioka,Tepung tapioka ibu tani gunung,Cv. tani tepung milioner,00220116590321,0.5
1064,FS Beras Merah|Beras merah alghifari|Alghifari|01331247570520|0.5,FS Beras Merah,Beras merah alghifari,Alghifari,01331247570520,0.5
1165,Indomaret Abon Sapi|Abon sapi rajati|Abon rajati|21010008430820|0.5,Indomaret Abon Sapi,Abon sapi rajati,Abon rajati,21010008430820,0.5
856,Indomaret Kacang Koro Kulit|Kacang koro kulit gita|Pt. gita|15100000720307|0.5,Indomaret Kacang Koro Kulit,Kacang koro kulit gita,Pt. gita,15100000720307,0.5
865,Smax Snack Ring Rasa Keju|Snack ring rasa keju merk ppuff|Nomnom|01101224090219|0.5,Smax Snack Ring Rasa Keju,Snack ring rasa keju merk ppuff,Nomnom,01101224090219,0.5
1200,Maya Sardines In Tomato Sauce|Pasific sardines in tomato sauce|Cv. pasific harvest|00030000761094|0.5,Maya Sardines In Tomato Sauce,Pasific sardines in tomato sauce,Cv. pasific harvest,00030000761094,0.5
607,Indomaret Teh Hijau Celup Melati|Teh hijau celup|Cv.jasarama|01121258790121|0.5,Indomaret Teh Hijau Celup Melati,Teh hijau celup,Cv.jasarama,01121258790121,0.5
480,Dua Kelinci Kacang Sukro Bbq|Sukro kacang bersalut rasa bbq|Pt. dua kelinci|00100017571001|0.5,Dua Kelinci Kacang Sukro Bbq,Sukro kacang bersalut rasa bbq,Pt. dua kelinci,00100017571001,0.5
606,Matchamu Matcha Latte|Matchamu matcha latte|Pt. matcha muda manggala|00120116540321|0.5,Matchamu Matcha Latte,Matchamu matcha latte,Pt. matcha muda manggala,00120116540321,0.5
1077,D'veggie Sambal Tabur Daun Jeruk|D'veggie sambal tabur rasa daun jeruk|Pt. indoveggie makmur sentosa|00060107481020|0.5,D'veggie Sambal Tabur Daun Jeruk,D'veggie sambal tabur rasa daun jeruk,Pt. indoveggie makmur sentosa,00060107481020,0.5
633,Tulip Milk Chocolate Compound|Tulip chocolatier milk chocolate compound|Pt. freyabadi indotama| 00110004850699|0.5,Tulip Milk Chocolate Compound,Tulip chocolatier milk chocolate compound,Pt. freyabadi indotama, 00110004850699,0.5
869,Morisca Lapis Legit Original|Lapis legit original|Po. blueberry|00160090840918|0.5,Morisca Lapis Legit Original,Lapis legit original,Po. blueberry,00160090840918,0.5
1078,D'veggie Sambal Tabur Rumput Laut|D'veggie sambal tabur rasa rumput laut|Pt. indoveggie makmur sentosa|00060107481020|0.5,D'veggie Sambal Tabur Rumput Laut,D'veggie sambal tabur rasa rumput laut,Pt. indoveggie makmur sentosa,00060107481020,0.5
1150,Sedaap Mie Instant Goreng Ayam Krispi|Mie sedaap instant mi goreng rasa ayam krispi|Prakarsa alam segar pt.|00090036380805|0.5,Sedaap Mie Instant Goreng Ayam Krispi,Mie sedaap instant mi goreng rasa ayam krispi,Prakarsa alam segar pt.,00090036380805,0.5
934,Tini Wini Biti Crackers Stroberi|Tini wini biti rasa stroberi|Pt. konimex|00100006500997|0.5,Tini Wini Biti Crackers Stroberi,Tini wini biti rasa stroberi,Pt. konimex,00100006500997,0.5
642,Pondan Sponge Cake Mix Pandan|Sponge cake pandan|Esthree|15160029640418|0.5,Pondan Sponge Cake Mix Pandan,Sponge cake pandan,Esthree,15160029640418,0.5
891,Selamat Wafer Chocolate Cream|Chocolate wafer cream|Pt. unimos|00100083330617|0.5,Selamat Wafer Chocolate Cream,Chocolate wafer cream,Pt. unimos,00100083330617,0.5
448,"Glico Biscuit Pocky Double Choco|Pocky double choco|Thai glico co., ltd.|00100078150816|0.5",Glico Biscuit Pocky Double Choco,Pocky double choco,"Thai glico co., ltd.",00100078150816,0.5
987,Indomaret Keripik Tempe|Keripik tempe aisyah|Keripik tempe aisyah|13120028151220|0.5,Indomaret Keripik Tempe,Keripik tempe aisyah,Keripik tempe aisyah,13120028151220,0.5
728,Oreo Cookie Crumb|Oreo cookie crumb|Mondelez indonesia manufacturing|00100039270306|0.5,Oreo Cookie Crumb,Oreo cookie crumb,Mondelez indonesia manufacturing,00100039270306,0.5
378,Kusuka Keripik Singkong Saos Balado|Keripik singkong balado ante|Keripik ante|02120012290618|0.5,Kusuka Keripik Singkong Saos Balado,Keripik singkong balado ante,Keripik ante,02120012290618,0.5
986,Indomaret Keripik Tempe Sagu|Keripik tempe sagu cemara kembar|Cemara kembar|15100068281220|0.5,Indomaret Keripik Tempe Sagu,Keripik tempe sagu cemara kembar,Cemara kembar,15100068281220,0.5
1272,Tropicana Slim Canola Oil|Tropicana slim canola oil|Soon soon oilmills sdn bhd|00080059911111|0.5,Tropicana Slim Canola Oil,Tropicana slim canola oil,Soon soon oilmills sdn bhd,00080059911111,0.5
842,Indomaret Bawang Merah Goreng|Bawang merah goreng (kriuk)|Sumber bawang|01061057560611|0.5,Indomaret Bawang Merah Goreng,Bawang merah goreng (kriuk),Sumber bawang,01061057560611,0.5
984,Indomaret Kerupuk Bawang|Kerupuk bawang|Jangkar|01101257081220|0.5,Indomaret Kerupuk Bawang,Kerupuk bawang,Jangkar,01101257081220,0.5
382,Kusuka Keripik Singkong Barbeque|Keripik singkong barbeque|Askha jaya|02120014651219|0.5,Kusuka Keripik Singkong Barbeque,Keripik singkong barbeque,Askha jaya,02120014651219,0.5
1245,Nestle Fitnesse Granola Honey|Fitnesse granola oats &amp; honey|Nestle philippines inc|00190019790402|0.5,Nestle Fitnesse Granola Honey,Fitnesse granola oats &amp; honey,Nestle philippines inc,00190019790402,0.5
81,Frisian Flag Kental Manis Cokelat|Frisian flag bendera krimer kental manis rasa cokelat|Pt. frisian flag indonesia|00040040520606|0.5,Frisian Flag Kental Manis Cokelat,Frisian flag bendera krimer kental manis rasa cokelat,Pt. frisian flag indonesia,00040040520606,0.5
78,Frisian Flag Kental Manis Coklat|Frisian flag susu kental manis|Pt. frisian flag indonesia|00040040520606|0.5,Frisian Flag Kental Manis Coklat,Frisian flag susu kental manis,Pt. frisian flag indonesia,00040040520606,0.5
